,home_team,away_team,home_pred_score_normalized,away_pred_score_normalized,pred_home_team_indicator,pred_away_team_indicator
0,Netherlands,United States,0.22094431517613508,0.49685901403209765,0,1
1,Argentina,Australia,0.09793056515414397,0.23774188989648923,0,1
2,Japan,Croatia,0.38042586927403904,0.1224112919262868,1,0
3,South Korea,Brazil,0.4807457923764626,0.3524060268405554,1,0
4,France,Poland,0.16437935830332828,0.10441212484175004,1,0
5,England,Senegal,0.04271969068629884,0.020315678560063583,1,0
6,Morocco,Spain,0.09202111276139642,0.1741744608486005,0,1
7,Portugal,Switzerland,0.4483839654256859,0.7229054127385726,0,1
